WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
0,1988,Real Burgos,Eibar,0-0,Miguel González Bastón,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,Pedro González Martínez,José María Bautista Monente,Fernando Arteaga Alzaga,Mirko Petrov,Eduardo Vélez Díez,Luis Miguel Sánchez García,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Benito Blanco Vila,Nikica Milenković,Pedro Benito Zapata,José Alberto Ibáñez Martín
0,1988,Rayo Vallecano,Real Burgos,0-0,Miguel González Bastón,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Pedro González Martínez,Mirko Petrov,Luis Miguel Sánchez García,Fernando Arteaga Alzaga,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,José Benito Blanco Vila,Nikica Milenković,Pedro Benito Zapata,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz
0,1988,Real Burgos,Xerez,1-1,Miguel González Bastón,Antonio Ruiz Vilches,Nikica Milenković,Francisco José Abascal Alonso,Pedro González Martínez,José María Bautista Monente,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Mirko Petrov,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,Enrique Magdaleno Díaz,José Medina Urbaneja,José Luis Melo Peña,
0,1988,Racing de Santander,Real Burgos,1-1,Miguel González Bastón,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Mirko Petrov,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,Enrique Magdaleno Díaz,Nikica Milenković,José Medina Urbaneja,José Luis Melo Peña,José Alberto Ibáñez Martín
0,1988,Real Burgos,Barcelona Atlético,1-1,Miguel González Bastón,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Mirko Petrov,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,José Benito Blanco Vila,Enrique Magdaleno Díaz,Pedro Benito Zapata,Nikica Milenković,José Alberto Ibáñez Martín
1,1988,Tenerife,Real Burgos,0-1,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,Francisco José Abascal Alonso,José María Bautista Monente,Luis Miguel Sánchez García,Fernando Arteaga Alzaga,Mirko Petrov,Eduardo Vélez Díez,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Nikica Milenković,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,José Luis Melo Peña,José Alberto Ibáñez Martín
0,1988,Real Burgos,Castellón,0-0,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,Nikica Milenković,Francisco José Abascal Alonso,Luis Miguel Sánchez García,Fernando Arteaga Alzaga,Mirko Petrov,Eduardo Vélez Díez,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Pedro Benito Zapata,Faustino Balbino García Méndez,José Medina Urbaneja
0,1988,Alzira,Real Burgos,1-0,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,Nikica Milenković,José María Bautista Monente,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,José Alberto Ibáñez Martín,José Luis Melo Peña,,
1,1989,Real Burgos,Castilla,3-0,Miguel González Bastón,Fernando Tocornal Linares,Guillermo José Asensio Domènech,José Manuel Rodríguez Portela,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Juan Manuel Mata Rodríguez,Arnaldo Llabrés Picó,Luis Pérez Hurtado,Antonio García Pérez,Jesús Ángel Abad Manzanedo
1,1989,Recreativo de Huelva,Real Burgos,1-2,Miguel González Bastón,Guillermo José Asensio Domènech,José Manuel Rodríguez Portela,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Pedro Luis Tamayo Tornadijo,Domingo Novoa Heras,Luis Pérez Hurtado,Antonio García Pérez,
0,1989,Real Burgos,Real Sociedad,0-1,Miguel González Bastón,José Luis Ribera Uranga,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Ivica Barbarić,Leonardo Azcona Fernández,Pedrag Jurić,Domingo Novoa Heras,Arnaldo Llabrés Picó,Antonio García Pérez,Guillermo José Asensio Domènech,Juan Manuel Mata Rodríguez
0,1989,Atlético Madrileño,Real Burgos,1-1,Miguel González Bastón,José Manuel Rodríguez Portela,Guillermo José Asensio Domènech,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Anel Karabeg,Ivica Barbarić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Pedrag Jurić,Pedro Luis Tamayo Tornadijo,Josep Villarroya Pérez,Antonio García Pérez,Juan Manuel Mata Rodríguez,Arnaldo Llabrés Picó
0,1989,Real Sociedad,Real Burgos,1-1,Miguel González Bastón,José Manuel Rodríguez Portela,Guillermo José Asensio Domènech,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Ivica Barbarić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Pedrag Jurić,Arnaldo Llabrés Picó,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Leonardo Azcona Fernández,Domingo Novoa Heras
1,1989,Real Burgos,Figueres,5-0,Miguel González Bastón,José Manuel Rodríguez Portela,José Luis Ribera Uranga,Guillermo José Asensio Domènech,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Francisco José Abascal Alonso,Domingo Novoa Heras,Antonio García Pérez,Arnaldo Llabrés Picó,Leonardo Azcona Fernández
0,1989,Español,Real Burgos,4-1,Miguel González Bastón,Guillermo José Asensio Domènech,José Luis Ribera Uranga,José Manuel Rodríguez Portela,Francisco José Abascal Alonso,José Luis Fernández Prieto,Ivica Barbarić,Anel Karabeg,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Arnaldo Llabrés Picó,Josep Villarroya Pérez,Antonio García Pérez,Pedro Luis Tamayo Tornadijo,Domingo Novoa Heras
1,1989,Real Burgos,Sabadell,2-1,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,José Luis Ribera Uranga,Francisco José Abascal Alonso,Anel Karabeg,Josep Villarroya Pérez,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Arnaldo Llabrés Picó,Juan Manuel Mata Rodríguez,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,José Luis Fernández Prieto
0,1989,Racing de Santander,Real Burgos,0-0,Miguel González Bastón,Guillermo José Asensio Domènech,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Ivica Barbarić,Anel Karabeg,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Jesús Ángel Abad Manzanedo,Josep Villarroya Pérez,Francisco José Abascal Alonso,Antonio García Pérez,Arnaldo Llabrés Picó
1,1989,Real Burgos,Las Palmas,3-0,Miguel González Bastón,José Manuel Rodríguez Portela,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Jesús Ángel Abad Manzanedo,Arnaldo Llabrés Picó,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Domingo Novoa Heras
0,1989,Deportivo de La Coruña,Real Burgos,1-1,Miguel González Bastón,Guillermo José Asensio Domènech,José Manuel Rodríguez Portela,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Ivica Barbarić,Anel Karabeg,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Josep Villarroya Pérez,Fernando Tocornal Linares,Antonio García Pérez,Jesús Ángel Abad Manzanedo,Leonardo Azcona Fernández
1,1989,Real Burgos,Murcia,2-1,Miguel González Bastón,José Manuel Rodríguez Portela,José Luis Ribera Uranga,Guillermo José Asensio Domènech,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Leonardo Azcona Fernández,Fernando Tocornal Linares,Arnaldo Llabrés Picó,Francisco José Abascal Alonso,Antonio García Pérez,Domingo Novoa Heras
1,1989,Levante,Real Burgos,1-3,Miguel González Bastón,Francisco José Abascal Alonso,José Manuel Rodríguez Portela,Fernando Tocornal Linares,José Luis Ribera Uranga,José Luis Fernández Prieto,Ivica Barbarić,Anel Karabeg,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Domingo Novoa Heras,Josep Villarroya Pérez,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Leonardo Azcona Fernández
1,1989,Real Burgos,Xerez,1-0,Miguel González Bastón,José Manuel Rodríguez Portela,Fernando Tocornal Linares,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,Antonio García Pérez,Leonardo Azcona Fernández,Arnaldo Llabrés Picó
0,1989,Palamós,Real Burgos,1-1,Miguel González Bastón,Fernando Tocornal Linares,Francisco José Abascal Alonso,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Jesús Ángel Abad Manzanedo,Domingo Novoa Heras,Luis Pérez Hurtado,Antonio García Pérez,Leonardo Azcona Fernández
1,1989,Real Burgos,Sestao,2-0,Miguel González Bastón,José Luis Ribera Uranga,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Francisco José Abascal Alonso,José Luis Fernández Prieto,Anel Karabeg,Josep Villarroya Pérez,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Domingo Novoa Heras,Arnaldo Llabrés Picó,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Leonardo Azcona Fernández
0,1989,Betis,Real Burgos,0-0,Miguel González Bastón,Fernando Tocornal Linares,José Luis Ribera Uranga,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José Luis Fernández Prieto,Anel Karabeg,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Luis Pérez Hurtado,Domingo Novoa Heras,Antonio García Pérez,Josep Villarroya Pérez,Arnaldo Llabrés Picó
0,1989,Real Burgos,Bilbao Athletic,0-0,Miguel González Bastón,Francisco José Abascal Alonso,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Arnaldo Llabrés Picó,Domingo Novoa Heras,Luis Pérez Hurtado,Antonio García Pérez,Jesús Ángel Abad Manzanedo
0,1989,Eibar,Real Burgos,0-0,Miguel González Bastón,Fernando Tocornal Linares,Francisco José Abascal Alonso,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Anel Karabeg,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Josep Villarroya Pérez,Luis Miguel Berenguel González,Antonio García Pérez,Jesús Ángel Abad Manzanedo,Eduardo Vélez Díez
1,1989,Real Burgos,Salamanca,1-0,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Luis Miguel Berenguel González,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Domingo Novoa Heras,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Francisco José Abascal Alonso,Arnaldo Llabrés Picó
0,1989,Elche,Real Burgos,1-1,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Anel Karabeg,Luis Miguel Berenguel González,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Josep Villarroya Pérez,Francisco José Abascal Alonso,Antonio García Pérez,Jesús Ángel Abad Manzanedo,Leonardo Azcona Fernández
0,1989,Castilla,Real Burgos,0-0,Miguel González Bastón,José Luis Ribera Uranga,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José Luis Fernández Prieto,Luis Miguel Berenguel González,Anel Karabeg,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Josep Villarroya Pérez,Leonardo Azcona Fernández,Guillermo José Asensio Domènech,Antonio García Pérez,Jesús Ángel Abad Manzanedo
1,1989,Real Burgos,Recreativo de Huelva,1-0,Miguel González Bastón,José Luis Ribera Uranga,José Manuel Rodríguez Portela,Fernando Tocornal Linares,José Luis Fernández Prieto,Josep Villarroya Pérez,Ivica Barbarić,Luis Miguel Berenguel González,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Pedro Luis Tamayo Tornadijo,Oliver Chinea Negrín,Antonio García Pérez,Juan Manuel Mata Rodríguez,Leonardo Azcona Fernández
1,1989,Real Burgos,Atlético Madrileño,4-0,Miguel González Bastón,José Luis Ribera Uranga,José Manuel Rodríguez Portela,Fernando Tocornal Linares,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Ivica Barbarić,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Luis Miguel Berenguel González,Leonardo Azcona Fernández,Antonio García Pérez,Juan Manuel Mata Rodríguez,Arnaldo Llabrés Picó
0,1989,Figueres,Real Burgos,1-0,Miguel González Bastón,Guillermo José Asensio Domènech,José Luis Ribera Uranga,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,Anel Karabeg,Josep Villarroya Pérez,Luis Miguel Berenguel González,Leonardo Azcona Fernández,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Oliver Chinea Negrín,Domingo Novoa Heras,Antonio García Pérez,Luis Pérez Hurtado,Jesús Ángel Abad Manzanedo
1,1989,Real Burgos,Español,4-1,Miguel González Bastón,José Manuel Rodríguez Portela,Fernando Tocornal Linares,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Ivica Barbarić,Luis Miguel Berenguel González,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Anel Karabeg,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Oliver Chinea Negrín,Leonardo Azcona Fernández
0,1989,Sabadell,Real Burgos,0-0,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Ivica Barbarić,Luis Miguel Berenguel González,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Pedrag Jurić,Francisco José Abascal Alonso,Josep Villarroya Pérez,Antonio García Pérez,Oliver Chinea Negrín,Arnaldo Llabrés Picó
0,1989,Real Burgos,Racing de Santander,0-2,Miguel González Bastón,Guillermo José Asensio Domènech,Fernando Tocornal Linares,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Ivica Barbarić,Luis Miguel Berenguel González,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Anel Karabeg,Arnaldo Llabrés Picó,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Oliver Chinea Negrín
0,1989,Las Palmas,Real Burgos,0-0,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Ivica Barbarić,Anel Karabeg,Pedrag Jurić,Manuel Jesús González Peña,Oliver Chinea Negrín,Luis Miguel Berenguel González,Antonio García Pérez,Francisco José Abascal Alonso,Arnaldo Llabrés Picó
1,1989,Real Burgos,Deportivo de La Coruña,3-0,Miguel González Bastón,José Manuel Rodríguez Portela,Fernando Tocornal Linares,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Arnaldo Llabrés Picó,Juan Manuel Mata Rodríguez,Pedro Luis Tamayo Tornadijo,Antonio García Pérez,Oliver Chinea Negrín
0,1989,Murcia,Real Burgos,2-0,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Ivica Barbarić,Josep Villarroya Pérez,Anel Karabeg,Pedrag Jurić,Enrique Magdaleno Díaz,Luis Miguel Berenguel González,Francisco José Abascal Alonso,Antonio García Pérez,Oliver Chinea Negrín,Arnaldo Llabrés Picó
0,1989,Real Burgos,Levante,0-1,Miguel González Bastón,José Manuel Rodríguez Portela,Francisco José Abascal Alonso,Pedro Luis Tamayo Tornadijo,José Luis Fernández Prieto,Ivica Barbarić,Josep Villarroya Pérez,Anel Karabeg,Luis Miguel Berenguel González,Pedrag Jurić,Manuel Jesús González Peña,Arnaldo Llabrés Picó,Juan Manuel Mata Rodríguez,Guillermo José Asensio Domènech,Antonio García Pérez,Oliver Chinea Negrín
0,1989,Xerez,Real Burgos,1-1,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Josep Villarroya Pérez,Arnaldo Llabrés Picó,Luis Pérez Hurtado,Antonio García Pérez,Luis Miguel Berenguel González
1,1989,Real Burgos,Palamós,6-0,Miguel González Bastón,José Manuel Rodríguez Portela,Fernando Tocornal Linares,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Ivica Barbarić,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Arnaldo Llabrés Picó,Oliver Chinea Negrín,Luis Miguel Berenguel González,Antonio García Pérez,Francisco José Abascal Alonso
1,1989,Sestao,Real Burgos,0-1,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,Francisco José Abascal Alonso,José Luis Fernández Prieto,Josep Villarroya Pérez,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Luis Miguel Berenguel González,Luis Pérez Hurtado,Antonio García Pérez,Anel Karabeg,Arnaldo Llabrés Picó
1,1989,Real Burgos,Betis,1-0,Miguel González Bastón,Fernando Tocornal Linares,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Luis Miguel Berenguel González,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Arnaldo Llabrés Picó,Francisco José Abascal Alonso,Luis Pérez Hurtado,Antonio García Pérez,Oliver Chinea Negrín
0,1989,Bilbao Athletic,Real Burgos,1-1,Miguel González Bastón,Fernando Tocornal Linares,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Pedrag Jurić,Luis Miguel Berenguel González,Luis Pérez Hurtado,Antonio García Pérez,Francisco José Abascal Alonso,Arnaldo Llabrés Picó
0,1989,Real Burgos,Eibar,0-0,Miguel González Bastón,Luis Pérez Hurtado,Francisco José Abascal Alonso,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,Anel Karabeg,Josep Villarroya Pérez,Luis Miguel Berenguel González,Pedrag Jurić,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Jesús Ángel Abad Manzanedo,Leonardo Azcona Fernández,Antonio García Pérez,Oliver Chinea Negrín,Arnaldo Llabrés Picó
0,1989,Salamanca,Real Burgos,2-0,Miguel González Bastón,José Manuel Rodríguez Portela,Fernando Tocornal Linares,Pedro Luis Tamayo Tornadijo,José Luis Ribera Uranga,José Luis Fernández Prieto,Josep Villarroya Pérez,Anel Karabeg,Leonardo Azcona Fernández,Enrique Magdaleno Díaz,Manuel Jesús González Peña,Jesús Ángel Abad Manzanedo,Arnaldo Llabrés Picó,,,
1,1989,Real Burgos,Elche,2-1,Miguel González Bastón,José Manuel Rodríguez Portela,Fernando Tocornal Linares,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,Oliver Chinea Negrín,Anel Karabeg,Luis Miguel Berenguel González,Pedrag Jurić,Manuel Jesús González Peña,Enrique Magdaleno Díaz,Juan Manuel Mata Rodríguez,Jesús Ángel Abad Manzanedo,Luis Pérez Hurtado,Antonio García Pérez,Domingo Novoa Heras
1,1990,Real Burgos,Cádiz,1-0,Miguel González Bastón,Alejandro Rodríguez López,Fernando Tocornal Linares,José Luis Ribera Uranga,Francisco Javier Mulero Villena,José Manuel Freire Chapela,Ivica Barbarić,Enrique Ayúcar Alberdi,Gavril Pele Balint,Pedrag Jurić,Eduardo Vélez Díez,Pedro Luis Tamayo Tornadijo,Manuel Jesús González Peña,Agustín de Carlos Elduayen,Gonzalo Arguiñano Elezkano,Josep Villarroya Pérez
0,1990,Athletic Club,Real Burgos,2-1,Miguel González Bastón,Francisco Javier Mulero Villena,Fernando Tocornal Linares,José Luis Ribera Uranga,Pedro Luis Tamayo Tornadijo,José Manuel Freire Chapela,Ivica Barbarić,Enrique Ayúcar Alberdi,Gavril Pele Balint,Pedrag Jurić,Eduardo Vélez Díez,Manuel Jesús González Peña,Joseba Aguirre López,Agustín de Carlos Elduayen,Gonzalo Arguiñano Elezkano,Alejandro Rodríguez López
1,1990,Real Burgos,Real Sociedad,2-0,Agustín de Carlos Elduayen,Francisco Javier Mulero Villena,Gonzalo Arguiñano Elezkano,Fernando Tocornal Linares,José Luis Ribera Uranga,Ivica Barbarić,Enrique Ayúcar Alberdi,José Manuel Freire Chapela,Gavril Pele Balint,Pedrag Jurić,Eduardo Vélez Díez,Joseba Aguirre López,Manuel Jesús González Peña,Miguel González Bastón,Alejandro Rodríguez López,José Luis Fernández Prieto
0,1990,Osasuna,Real Burgos,1-0,Agustín de Carlos Elduayen,Francisco Javier Mulero Villena,Fernando Tocornal Linares,Gonzalo Arguiñano Elezkano,José Luis Ribera Uranga,Enrique Ayúcar Alberdi,Ivica Barbarić,José Manuel Freire Chapela,Pedrag Jurić,Gavril Pele Balint,Eduardo Vélez Díez,Joseba Aguirre López,Manuel Jesús González Peña,Miguel González Bastón,Alejandro Rodríguez López,José Luis Fernández Prieto
0,1990,Real Burgos,Logroñés,1-2,Agustín de Carlos Elduayen,Gonzalo Arguiñano Elezkano,Fernando Tocornal Linares,Francisco Javier Mulero Villena,José Luis Ribera Uranga,José Manuel Freire Chapela,Ivica Barbarić,Josep Villarroya Pérez,Enrique Ayúcar Alberdi,Gavril Pele Balint,Pedrag Jurić,Manuel Jesús González Peña,Joseba Aguirre López,Miguel González Bastón,Eduardo Vélez Díez,Alejandro Rodríguez López
0,1990,Sporting de Gijón,Real Burgos,0-0,Agustín de Carlos Elduayen,Alejandro Rodríguez López,Francisco Javier Mulero Villena,José Luis Ribera Uranga,Fernando Tocornal Linares,José Manuel Freire Chapela,Ivica Barbarić,Enrique Ayúcar Alberdi,Gavril Pele Balint,Manuel Jesús González Peña,Eduardo Vélez Díez,Gonzalo Arguiñano Elezkano,Joseba Aguirre López,Miguel González Bastón,José Luis Fernández Prieto,Pedrag Jurić
1,1990,Real Burgos,Oviedo,4-0,Agustín de Carlos Elduayen,Alejandro Rodríguez López,Fernando Tocornal Linares,José Luis Ribera Uranga,Francisco Javier Mulero Villena,José Manuel Freire Chapela,Ivica Barbarić,Enrique Ayúcar Alberdi,Gavril Pele Balint,Pedrag Jurić,Eduardo Vélez Díez,Manuel Jesús González Peña,José Luis Fernández Prieto,Miguel González Bastón,Gonzalo Arguiñano Elezkano,Joseba Aguirre López
0,1990,Atlético de Madrid,Real Burgos,0-0,Agustín de Carlos Elduayen,Alejandro Rodríguez López,Fernando Tocornal Linares,Francisco Javier Mulero Villena,José Luis Ribera Uranga,José Luis Fernández Prieto,Enrique Ayúcar Alberdi,Ivica Barbarić,Gavril Pele Balint,Pedrag Jurić,Eduardo Vélez Díez,Joseba Aguirre López,Manuel Jesús González Peña,Miguel González Bastón,Gonzalo Arguiñano Elezkano,Francisco José Abascal Alonso
1,1990,Real Burgos,Real Madrid,2-1,Agustín de Carlos Elduayen,Alejandro Rodríguez López,Fernando Tocornal Linares,José Luis Ribera Uranga,Francisco Javier Mulero Villena,José Luis Fernández Prieto,Enrique Ayúcar Alberdi,Ivica Barbarić,Pedrag Jurić,Gavril Pele Balint,Eduardo Vélez Díez,Joseba Aguirre López,Manuel Jesús González Peña,Miguel González Bastón,Gonzalo Arguiñano Elezkano,Pedro Luis Tamayo Tornadijo
0,1990,Barcelona,Real Burgos,0-0,Agustín de Carlos Elduayen,Alejandro Rodríguez López,Francisco Javier Mulero Villena,Fernando Tocornal Linares,José Luis Ribera Uranga,José Luis Fernández Prieto,Enrique Ayúcar Alberdi,Ivica Barbarić,Gavril Pele Balint,Pedrag Jurić,Eduardo Vélez Díez,Joseba Aguirre López,Manuel Jesús González Peña,Miguel González Bastón,Gonzalo Arguiñano Elezkano,Pedro Luis Tamayo Tornadijo
0,1990,AD Ceuta,Real Burgos,2-1,Miguel González Bastón,Alejandro Rodríguez López,Fernando Tocornal Linares,Gonzalo Arguiñano Elezkano,José Manuel Rodríguez Portela,Pedro Luis Tamayo Tornadijo,José Luis Fernández Prieto,Josep Villarroya Pérez,Joseba Aguirre López,Manuel Jesús González Peña,José Luis Sarabia Moreno,Francisco Javier Mulero Villena,Eduardo Vélez Díez,,,
0,1990,Real Burgos,Español,0-0,Agustín de Carlos Elduayen,Alejandro Rodríguez López,Fernando Tocornal Linares,Francisco Javier Mulero Villena,José Luis Ribera Uranga,José Luis Fernández Prieto,Enrique Ayúcar Alberdi,Ivica Barbarić,Pedrag Jurić,Gavril Pele Balint,Eduardo Vélez Díez,Joseba Aguirre López,Manuel Jesús González Peña,Miguel González Bastón,Gonzalo Arguiñano Elezkano,Pedro Luis Tamayo Tornadijo
