WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
0,1985,San Sebastián,Real Burgos,2-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José Alberto Ibáñez Martín,José Ignacio Roselló Miravete,Jesús Sicilia Doménech,Eliseo Salamanca Franco,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,José Esteban Martín Rodríguez,Pedro Benito Zapata,Juan Antonio Rojo Martín,José Manuel Molinero Caraballo,
1,1985,Real Burgos,Compostela,2-1,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Federico Castaños Martínez,Pedro Benito Zapata,,,
0,1985,Andorra CF,Real Burgos,1-1,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Francisco Javier Eizmendi Urdangarín,José Antonio del Moral Buezo,José Manuel Molinero Caraballo,,,
0,1985,Real Burgos,Andorra,2-2,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Francisco Javier Eizmendi Urdangarín,José Antonio Blanco Álvarez,José Manuel Molinero Caraballo,,,
0,1985,Alavés,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Jaime Arechavaleta Martínez de Quel,José Antonio Blanco Álvarez,,,
0,1985,Real Burgos,Orense,0-1,Pedro Benito Zapata,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Esteban Martín Rodríguez,José Antonio Blanco Álvarez,,,
1,1985,Real Burgos,Zamora,2-1,Pedro Benito Zapata,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,,,,,
0,1985,Pontevedra,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,Jesús Sicilia Doménech,José Manuel Molinero Caraballo,,,
0,1985,Lleida,Real Burgos,2-1,Pedro Benito Zapata,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Antonio del Moral Buezo,José Manuel Molinero Caraballo,,,
1,1985,Real Burgos,Arosa,1-0,Miguel González Bastón,Francisco Javier Goñi Biesa,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Jesús Sicilia Doménech,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Manuel Molinero Caraballo,José Antonio Blanco Álvarez,,,
