WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1989;Numancia;Calahorra;1-2;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Carlos Rodríguez Monzón;Fernando Fierro López;Raúl Ortiz de Urbina Villapún;José García Juárez;José Antonio Lucas Santolaya;Cristóbal Rodríguez Hidalgo;Juan Carlos Pérez Olano;;;;;
1;1989;Fraga;Numancia;0-1;Antonio Alfageme Bragado;Cristóbal Rodríguez Hidalgo;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Valentín Arche Romero;Fernando Fierro López;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Federico Castaños Martínez;Carlos Rodríguez Monzón;;;;;
1;1989;Numancia;Andorra;3-2;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pereira Ruiz;José Antonio Lucas Santolaya;Carlos Rodríguez Monzón;Fernando Fierro López;;;;;
0;1989;Laredo;Numancia;2-1;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Fernando Fierro López;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pereira Ruiz;José Antonio Lucas Santolaya;Federico Castaños Martínez;Carlos Rodríguez Monzón;;;;;
1;1989;Numancia;Basconia;2-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pereira Ruiz;José Antonio Lucas Santolaya;Fernando Fierro López;Cristóbal Rodríguez Hidalgo;;;;;
0;1989;Baracaldo;Numancia;2-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Cristóbal Rodríguez Hidalgo;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pereira Ruiz;José Antonio Lucas Santolaya;José Ángel Fernández Aláez;Fernando Fierro López;;;;;
1;1989;Numancia;Barbastro;1-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pereira Ruiz;José Antonio Lucas Santolaya;Federico Castaños Martínez;Carlos Rodríguez Monzón;;;;;
0;1989;Deportivo Aragón;Numancia;1-1;Antonio Alfageme Bragado;Federico Castaños Martínez;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;Francisco Rodríguez Gutiérrez;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pereira Ruiz;José Antonio Lucas Santolaya;Fernando Fierro López;José Rojo Martín;;;;;
0;1989;Numancia;Lleida;0-0;Antonio Alfageme Bragado;Federico Castaños Martínez;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pereira Ruiz;José Antonio Lucas Santolaya;José Rojo Martín;Francisco Javier Hernández Lamata;;;;;
0;1990;Baracaldo;Numancia;1-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;Pedro Mesones Fernández;José Ángel Fernández Aláez;José Antonio Pastor Carbonell;;;;;
0;1990;Medinense;Numancia;2-1;Francisco José Ruiz Vegas;José Antonio Pastor Carbonell;Cristóbal Rodríguez Hidalgo;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Ángel Fernández Aláez;César García García;Ignacio García García;José Ignacio Hurtado Capilla;José Felix González Alcalde;José Javier Díaz Gómez;Pedro Mesones Fernández;;;;;
1;1990;Numancia;Huesca;2-0;Francisco José Ruiz Vegas;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;Pedro Mesones Fernández;José Antonio Pastor Carbonell;José Ignacio Hurtado Capilla;;;;;
1;1990;Teruel;Numancia;1-2;Francisco José Ruiz Vegas;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;José Ignacio Hurtado Capilla;Cristóbal Rodríguez Hidalgo;José Ángel Fernández Aláez;;;;;
0;1990;Numancia;Gimnástica de Torrelavega;0-0;Francisco José Ruiz Vegas;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;José Ignacio Hurtado Capilla;;;;;;;
1;1990;Numancia;Medinense;2-0;Antonio Alfageme Bragado;Cristóbal Rodríguez Hidalgo;José María Güembe Torrecilla;José Helios Ruiz Villar;José Antonio Pastor Carbonell;José Javier Díaz Gómez;José Ángel Fernández Aláez;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;José Ignacio Hurtado Capilla;César García García;José Felix González Alcalde;;;;;
