WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,
1,1982,Albacete,Jaén,1-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,Manuel Escarbajal Ruiz,,,,,
0,1982,Lorca,Albacete,3-0,José Villalba Arana,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Escarbajal Ruiz,Manuel Villalba Arana,José Antonio Castanera Sanjuan,,,,,,
0,1982,Albacete,AD Ceuta,0-0,José Villalba Arana,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Manuel Escarbajal Ruiz,,,,,,
0,1982,Granada,Albacete,1-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,José Antonio Álvarez Domínguez,Manuel Escarbajal Ruiz,,,,,,
1,1982,Albacete,Torrejón,5-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Eudald Duran Alberch,Mariano Hernán López,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Manuel Escarbajal Ruiz,José Antonio Castanera Sanjuan,,,,,
0,1982,Talavera,Albacete,1-1,José Villalba Arana,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Eudald Duran Alberch,Juan Antonio Villalba Arana,Manuel Escarbajal Ruiz,Manuel Villalba Arana,José Antonio Gómez Álvarez de Eulate,José Morata Pérez,Martín Monteagudo Monteagudo,,,,,
0,1982,Albacete,Algeciras,0-1,José Villalba Arana,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,Manuel Escarbajal Ruiz,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,José Antonio Castanera Sanjuan,,,,,,
1,1982,SD Ibiza,Albacete,0-2,José Villalba Arana,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Escarbajal Ruiz,José Antonio Álvarez Domínguez,José Morata Pérez,,,,,
0,1982,Albacete,Alcoyano,0-0,José Villalba Arana,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,José Antonio Castanera Sanjuan,Manuel Escarbajal Ruiz,José Antonio Álvarez Domínguez,Rafael Gorina Sánchez,Martín Monteagudo Monteagudo,,,,,
1,1982,Calvo Sotelo,Albacete,1-2,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,José Antonio Álvarez Domínguez,Juan Carlos Lázaro Póveda,Ramón Román Ortiz,,,,,
