WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,
0,1971,Xerez,Mallorca,0-0,José Ramón García Fernández,José Diego Román Relinque,José Sánchez Fernández,Ernesto Fernández Pérez,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Rafael Sánchez del Pozo,Francisco Ortiz de Zárate Ruiz,Francisco Jiménez Martín,José Ravelo Rodríguez,José Sánchez Benítez,José Benito Yáñiz Goñi,Juan Garrido Valencia,,,,,,,,,
0,1971,Rayo Vallecano,Xerez,2-0,José Ramón García Fernández,José Sánchez Fernández,Ernesto Fernández Pérez,Manuel Prieto Valenzuela,Eduardo González Ruiz,José Sánchez Benítez,Diego Vera Cuesta,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,Juan Garrido Valencia,José Ravelo Rodríguez,,,,,,,,,,,
0,1971,Xerez,Valladolid,1-1,Manuel Serrano Pichardo,José Diego Román Relinque,José Sánchez Fernández,Ernesto Fernández Pérez,Rafael Verdú Beramendi,Francisco Jiménez Martín,Francisco Ortiz de Zárate Ruiz,José Luis Domínguez Pérez,Juan Garrido Valencia,José Ravelo Rodríguez,José Sánchez Benítez,Manuel Prieto Valenzuela,José Benito Yáñiz Goñi,,,,,,,,,
0,1972,Badajoz,Xerez,3-1,Francisco González Lorenzo,Fernando Monterde Estévez,José Sánchez Fernández,Manuel Mesa Gallego,Eduardo Beigveder Merino,Eduardo González Ruiz,José Luis Domínguez Pérez,Manuel Peña Benítez,José Varón Arraez,Ildefonso Mendoza Cataluña,José Ravelo Rodríguez,José Diego Román Relinque,Matías Miguel Tugores Ferrer,,,,,,,,,
1,1972,Xerez,Badajoz,2-1,Francisco González Lorenzo,Fernando Monterde Estévez,José Sánchez Fernández,Agustín Piñero Narbona,Eduardo Beigveder Merino,Juan Moyano Oliveros,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,José Luis Domínguez Pérez,José Ravelo Rodríguez,José Varón Arraez,José Diego Román Relinque,Manuel Peña Benítez,,,,,,,,,
1,1973,Xerez,Jaén,2-0,Julio García Escudero,José Prieto Valenzuela,Manuel Prieto Valenzuela,Fernando Monterde Estévez,Salvador Amarillo Sánchez,Juan Carlos Rojas Díaz,Alfonso Pérez Brisimiri,José Ravelo Rodríguez,José Varón Arraez,Manuel Peña Benítez,Fernando Ramón Méndez Gómez,Agustín Piñero Narbona,,,,,,,,,,
0,1973,Jaén,Xerez,3-0,Francisco Lara Mauricio,José Prieto Valenzuela,Agustín Piñero Narbona,Manuel Prieto Valenzuela,Manuel Moscoso Cordero,Antonio Vega Narbona,Juan Carlos Rojas Díaz,José Varón Arraez,Manuel Peña Benítez,Francisco Ortiz de Zárate Ruiz,José Ravelo Rodríguez,Luis González Salazar,José Malía Fernández,,,,,,,,,
1,1974,Xerez,San Fernando,2-1,Juan Galán Bayarri,Manuel Prieto Valenzuela,Agustín Piñero Narbona,Manuel Moscoso Cordero,Rafael Verdú Beramendi,Felipe Rodríguez Gutiérrez,Juan Manuel López García,Pedro Martín Pajuelo,Francisco Ortiz de Zárate Ruiz,Manuel Peña Benítez,José Ravelo Rodríguez,Alfonso Pérez Brisimiri,Eloy Angulo Sivianes,,,,,,,,,
0,1974,San Fernando,Xerez,3-2,Juan Galán Bayarri,Luis González Salazar,Manuel Prieto Valenzuela,Agustín Piñero Narbona,Manuel Moscoso Cordero,Rafael Verdú Beramendi,Alfonso Pérez Brisimiri,Felipe Rodríguez Gutiérrez,Pedro Martín Pajuelo,Francisco Ortiz de Zárate Ruiz,José Ravelo Rodríguez,José Manuel Martín Pérez,,,,,,,,,,
0,1974,Atlético Marbella,Xerez,2-0,José Antonio Ruiz Martínez,Agustín Piñero Narbona,Manuel Prieto Valenzuela,Manuel Moscoso Cordero,Rafael Verdú Beramendi,Felipe Rodríguez Gutiérrez,Juan Carlos Rojas Díaz,José Ravelo Rodríguez,Juan Manuel López García,Francisco Ortiz de Zárate Ruiz,Juan Garrido Valencia,Alfonso Pérez Brisimiri,Pedro Martín Pajuelo,,,,,,,,,
1,1974,Xerez,Atlético Marbella,4-1,Juan Galán Bayarri,Manuel Martínez Pérez,Manuel Prieto Valenzuela,Agustín Piñero Narbona,Mariano González Bejarano,Rafael Verdú Beramendi,Felipe Rodríguez Gutiérrez,Juan Carlos Rojas Díaz,José Manuel Martín Pérez,Eloy Angulo Sivianes,José Ravelo Rodríguez,Juan Garrido Valencia,Luis González Salazar,,,,,,,,,
0,1974,Xerez,Cultural Leonesa,0-0,Juan Galán Bayarri,Manuel Martínez Pérez,Agustín Piñero Narbona,Manuel Prieto Valenzuela,Mariano González Bejarano,Rafael Verdú Beramendi,Felipe Rodríguez Gutiérrez,Juan Carlos Rojas Díaz,José Manuel Martín Pérez,Eloy Angulo Sivianes,José Ravelo Rodríguez,Juan Garrido Valencia,Luis González Salazar,,,,,,,,,
0,1974,Cultural Leonesa,Xerez,2-1,Juan Galán Bayarri,Manuel Martínez Pérez,Manuel Prieto Valenzuela,Agustín Piñero Narbona,Mariano González Bejarano,Rafael Verdú Beramendi,Juan Manuel López García,José Manuel Martín Pérez,Manuel Peña Benítez,Juan Garrido Valencia,José Ravelo Rodríguez,Luis González Salazar,Juan Carlos Rojas Díaz,,,,,,,,,
0,1975,Villena,Xerez,2-1,José del Castillo Rodríguez,Agustín Piñero Narbona,Julio Murga Gutiérrez,Manuel Moscoso Cordero,Diego Moreno Gavilán,Juan Carlos Rojas Díaz,Álvaro Fuente Ochoa,Juan José Burgos Burgos,Eloy Angulo Sivianes,Manuel Peña Benítez,José Ravelo Rodríguez,Rafael Verdú Beramendi,Juan Garrido Valencia,,,,,,,,,
1,1975,Xerez,Villena,3-2,José del Castillo Rodríguez,Antonio Rincón Gómez,Luis González Salazar,Agustín Piñero Narbona,Manuel Moscoso Cordero,José Luis Martín Ortega,Juan Garrido Valencia,Bernardo Acosta Miranda,Manuel Peña Benítez,José Mayo Vázquez,José Ravelo Rodríguez,Álvaro Fuente Ochoa,Rafael López Choquet de Isla,,,,,,,,,
1,1975,Xerez,Mestalla,2-1,José del Castillo Rodríguez,Julio Murga Gutiérrez,Manuel Moscoso Cordero,Antonio Rincón Gómez,Rafael Verdú Beramendi,Juan Carlos Rojas Díaz,Álvaro Fuente Ochoa,José Luis Martín Ortega,Eloy Angulo Sivianes,Juan Garrido Valencia,José Ravelo Rodríguez,Manuel Peña Benítez,José Mayo Vázquez,,,,,,,,,
0,1975,Mestalla,Xerez,3-2,Juan Galán Bayarri,Agustín Piñero Narbona,Julio Murga Gutiérrez,Antonio Rincón Gómez,Juan Carlos Rojas Díaz,Álvaro Fuente Ochoa,José Luis Martín Ortega,Eloy Angulo Sivianes,Bernardo Acosta Miranda,Juan Garrido Valencia,José Ravelo Rodríguez,Luis González Salazar,Rafael Verdú Beramendi,,,,,,,,,
0,1976,Díter Zafra,Xerez,0-0,José Manuel González González,David Vidal Tomé,Agustín Piñero Narbona,Guillermo Navarro Murillo,Julio Murga Gutiérrez,Juan Antonio González Sarmiento,Antonio Guzmán Ramírez,Rafael Remuzgo Martín,Juan Garrido Valencia,Pedro Martín Pajuelo,José Carbonell Calatayud,Álvaro Fuente Ochoa,Rafael López Choquet de Isla,,,,,,,,,
1,1976,Xerez,Díter Zafra,2-1,José Manuel González González,Guillermo Navarro Murillo,Agustín Piñero Narbona,Salvador Amarillo Sánchez,Juan Antonio González Sarmiento,Rafael Remuzgo Martín,José Pineda Cárdenas,Rafael López Choquet de Isla,José Carbonell Calatayud,Rodolfo Alfredo Orife Pérez,José Ravelo Rodríguez,Manuel Moscoso Cordero,Pedro Martín Pajuelo,,,,,,,,,
0,1976,Xerez,Córdoba,0-0,Carlos Manuel García Cuervo,David Vidal Tomé,Agustín Piñero Narbona,Manuel Moscoso Cordero,Mariano González Bejarano,Antonio Ballesteros Morales,Juan Antonio González Sarmiento,Rodolfo Alfredo Orife Pérez,Pedro Martín Pajuelo,José Carbonell Calatayud,José Ravelo Rodríguez,Rafael López Choquet de Isla,,,,,,,,,,
0,1976,Córdoba,Xerez,1-0,José Manuel González González,David Vidal Tomé,Agustín Piñero Narbona,Guillermo Navarro Murillo,Mariano González Bejarano,Antonio Ballesteros Morales,Antonio Guzmán Ramírez,Juan Antonio González Sarmiento,Felipe Rodríguez Gutiérrez,Rodolfo Alfredo Orife Pérez,Pedro Martín Pajuelo,Rafael López Choquet de Isla,Juan Garrido Valencia,,,,,,,,,
0,1977,Levante,Xerez,1-0,José Antonio Ramírez Ortega,José Carlos Trasante Martínez,Agustín Piñero Narbona,Manuel Ruiz Reyes,Salvador Amarillo Sánchez,Felipe Rodríguez Gutiérrez,Antonio Ballesteros Morales,Juan Antonio González Sarmiento,Pedro Jiménez Serrano,José Carbonell Calatayud,José Ravelo Rodríguez,Juan Garrido Valencia,Diego Garrido Valencia,,,,,,,,,
1,1977,Xerez,Olímpico,2-1,José Antonio Ramírez Ortega,José Carlos Trasante Martínez,Manuel Ruiz Reyes,Agustín Piñero Narbona,Salvador Amarillo Sánchez,Felipe Rodríguez Gutiérrez,Antonio Ballesteros Morales,Juan Antonio González Sarmiento,Pedro Jiménez Serrano,José Carbonell Calatayud,José Ravelo Rodríguez,Rafael López Choquet de Isla,Diego Garrido Valencia,,,,,,,,,
