WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1977;Algeciras;Lérida;1-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Antonio Rivas Sánchez;Manuel Martínez Pérez;Gabriel Saavedra Olea;Antonio Vargas Quijada;Salvador Asensio Ruiz;José Adolfo López Menéndez;Francisco Martínez Caba;Julio Cabello Ortega;José Antonio Matute Urbano;Miguel Gallego Domínguez;Fernando Abelenda Rosado;;;;;
0;1977;Sevilla Atlético;Algeciras;0-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Gabriel Saavedra Olea;Salvador Asensio Ruiz;;;;;
0;1977;Algeciras;Xerez;3-3;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Antonio Vargas Quijada;Salvador Asensio Ruiz;Francisco Martínez Caba;Javier Ventura Faulon;Gabriel Saavedra Olea;Julio Cabello Ortega;;;;;
0;1977;AD Almería;Algeciras;1-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Antonio Rivas Sánchez;Manuel Martínez Pérez;Rafael Guillén Castañeda;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Juan Herrero Cabello;Julio Silverio Córdoba;;;;;
1;1977;Algeciras;Badajoz;1-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Antonio Vargas Quijada;Julio Silverio Córdoba;Francisco Martínez Caba;Javier Ventura Faulon;Manuel Camargo Plaza;Fernando Abelenda Rosado;;;;;
0;1977;Díter Zafra;Algeciras;0-0;Nemesio Alonso Álvarez;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Francisco Martínez Caba;Javier Ventura Faulon;Luis María Merayo Delgado;Julio Silverio Córdoba;;;;;
1;1977;Algeciras;Racing Portuense;3-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Gabriel Saavedra Olea;Miguel Gallego Domínguez;Julio Silverio Córdoba;Francisco Martínez Caba;Javier Ventura Faulon;Rafael Guillén Castañeda;Antonio Vargas Quijada;;;;;
1;1977;Eldense;Algeciras;1-4;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Camargo Plaza;Antonio Rivas Sánchez;Miguel Loza Gallego;Juan Herrero Cabello;Miguel Gallego Domínguez;Fernando Abelenda Rosado;Gabriel Saavedra Olea;Francisco Martínez Caba;Javier Ventura Faulon;Julio Silverio Córdoba;Rafael Guillén Castañeda;;;;;
1;1977;Algeciras;Mallorca;2-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Gabriel Saavedra Olea;Miguel Gallego Domínguez;Julio Silverio Córdoba;Francisco Martínez Caba;Javier Ventura Faulon;Rafael Guillén Castañeda;Julio Cabello Ortega;;;;;
1;1977;Atlético Baleares;Algeciras;0-3;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Antonio Rivas Sánchez;Juan Herrero Cabello;Gabriel Saavedra Olea;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Rafael Guillén Castañeda;Manuel Martínez Pérez;;;;;
1;1977;Algeciras;Vinaroz;2-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Antonio Rivas Sánchez;Juan Herrero Cabello;Gabriel Saavedra Olea;Miguel Gallego Domínguez;Antonio Vargas Quijada;Julio Silverio Córdoba;Francisco Martínez Caba;Javier Ventura Faulon;Rafael Guillén Castañeda;Manuel Martínez Pérez;;;;;
1;1977;Levante;Algeciras;0-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Juan Herrero Cabello;Rafael Guillén Castañeda;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Manuel Martínez Pérez;Julio Silverio Córdoba;;;;;
1;1977;Algeciras;Onteniente;1-0;Nemesio Alonso Álvarez;Manuel Martínez Pérez;Roberto Rodolfo Romero Sebastianelli;Juan Herrero Cabello;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Fernando Abelenda Rosado;Gabriel Saavedra Olea;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Luis María Merayo Delgado;Julio Silverio Córdoba;;;;;
1;1977;Olímpico;Algeciras;0-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Martínez Pérez;Antonio Rivas Sánchez;Juan Herrero Cabello;Gabriel Saavedra Olea;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Rafael Guillén Castañeda;Julio Silverio Córdoba;;;;;
0;1977;AD Ceuta;Algeciras;3-2;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Martínez Pérez;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Gabriel Saavedra Olea;Fernando Abelenda Rosado;Francisco Martínez Caba;Javier Ventura Faulon;Luis María Merayo Delgado;Julio Silverio Córdoba;;;;;
