WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
1,1971,Córdoba,Betis,3-1,Juan Campos Ignacio,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Rodríguez,Manuel Sanchis Martínez,Vicente del Bosque González,José Tomás Escalante Bermejo,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,José Bermúdez Melero,,,,,,,,,,,
0,1971,Celta de Vigo,Córdoba,2-0,Juan Campos Ignacio,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Rodríguez,Vicente del Bosque González,José Tomás Escalante Bermejo,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Antonio Alarcón Vergara,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,,,,,,,,,,,,
1,1971,Córdoba,Sabadell,4-1,Juan Campos Ignacio,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Rodríguez,José Fermín Gutiérrez Martín,Vicente del Bosque González,Juan Carlos Rojas Díaz,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,,,,,,,,,,,,
0,1971,Atlético de Bilbao,Córdoba,5-0,Juan Campos Ignacio,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Rodríguez,Manuel Sanchis Martínez,Vicente del Bosque González,José Fermín Gutiérrez Martín,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Manuel Garrido Sevilla,José Tomás Escalante Bermejo,,,,,,,,,,,
0,1971,Córdoba,Valencia,0-4,Juan Campos Ignacio,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Rodríguez,Manuel Sanchis Martínez,Vicente del Bosque González,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Antonio Alarcón Vergara,,,,,,,,,,,
0,1971,Barcelona,Córdoba,4-1,José Bermúdez Melero,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Rodríguez,Manuel Sanchis Martínez,Vicente del Bosque González,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Antonio Alarcón Vergara,Rafael Cepas Robles,,,,,,,,,,
1,1971,Córdoba,Granada,2-0,José Bermúdez Melero,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Vicente del Bosque González,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,,,,,,,,,,,,
0,1971,Córdoba,Deportivo de La Coruña,0-0,José Bermúdez Melero,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Vicente del Bosque González,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,José Tomás Escalante Bermejo,,,,,,,,,,,
0,1971,Sevilla,Córdoba,1-1,José Bermúdez Melero,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Antonio Alarcón Vergara,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,José Tomás Escalante Bermejo,,,,,,,,,,,
0,1971,Córdoba,Burgos,0-0,José Bermúdez Melero,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,,,,,,,,,,,,
0,1971,Real Madrid,Córdoba,4-1,José Bermúdez Melero,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,Francisco Causanilles Puchol,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Juan Alias Aguilar,Manuel Garrido Sevilla,Diego Moreno Gavilán,,,,,,,,,,
0,1971,Córdoba,Valladolid,0-0,Miguel Ángel Molina Pons,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Prieto,Diego Moreno Gavilán,José Fermín Gutiérrez Martín,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel de la Cuesta Martínez,Juan Alias Aguilar,Rafael Martínez Hidalgo,,,,,,,,,,,
0,1971,CD Málaga,Córdoba,2-2,Miguel Ángel Molina Pons,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,José Fermín Gutiérrez Martín,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel Garrido Sevilla,Manuel de la Cuesta Martínez,Juan Alias Aguilar,Diego Moreno Gavilán,,,,,,,,,,,
1,1971,Córdoba,Real Sociedad,1-0,Miguel Ángel Molina Pons,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,José Fermín Gutiérrez Martín,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel Garrido Sevilla,Manuel de la Cuesta Martínez,Juan Alias Aguilar,José Bermúdez Melero,Manuel Sanchis Martínez,Ángel Rodríguez Torres,Ramón Tejada Acuña,,,,,,,,
0,1971,Valladolid,Córdoba,2-0,Miguel Ángel Molina Pons,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,José Fermín Gutiérrez Martín,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel Garrido Sevilla,Manuel de la Cuesta Martínez,Juan Alias Aguilar,Manuel Sanchis Martínez,Ramón Tejada Acuña,,,,,,,,,,
0,1971,Español,Córdoba,1-1,Miguel Ángel Molina Pons,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,José Fermín Gutiérrez Martín,Ramón Tejada Acuña,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel Garrido Sevilla,Manuel de la Cuesta Martínez,,,,,,,,,,,,
0,1971,Córdoba,Las Palmas,2-2,Miguel Ángel Molina Pons,Francisco Varo López,Rafael Cepas Robles,José Rodríguez Martínez,Manuel López Rodríguez,José Fermín Gutiérrez Martín,Ramón Tejada Acuña,José Tomás Escalante Bermejo,Antonio Alarcón Vergara,Manuel Garrido Sevilla,Manuel de la Cuesta Martínez,,,,,,,,,,,,
