WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1977;Mirandés;Pegaso;0-0;José Muñoz Sarasola;Andoni Arriola Loyola;Ángel Sabino Álava Dorronsoro;José Usle Expósito;Guillermo de Haro López;José Bernal Sánchez;Carmelo Andueza San Martín;Benito Alonso Frechilla;Francisco Sanz Tudanca;Isaac Iruarrizaga Puerta;Enrique Mata García;Carlos Braceras Gorostiza;Federico Javier Sada Velasco;;;;;
0;1977;Langreo;Mirandés;2-0;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Fernando Juaristi Tapia;Andoni Arriola Loyola;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Enrique Mata García;Isaac Iruarrizaga Puerta;José Bernal Sánchez;Federico Javier Sada Velasco;;;;;
0;1977;Tarrasa;Mirandés;4-0;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Carlos Braceras Gorostiza;Andoni Arriola Loyola;Fernando Juaristi Tapia;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Isaac Iruarrizaga Puerta;Francisco Sanz Tudanca;Enrique Mata García;Benito Alonso Frechilla;José Bernal Sánchez;;;;;
1;1977;Mirandés;Caudal;4-1;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Andoni Arriola Loyola;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Isaac Iruarrizaga Puerta;Enrique Mata García;Francisco Sanz Tudanca;Fernando Juaristi Tapia;;;;;;
0;1977;Atlético Madrileño;Mirandés;1-1;José Muñoz Sarasola;Andoni Arriola Loyola;Ángel Sabino Álava Dorronsoro;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Francisco Sanz Tudanca;Enrique Mata García;Isaac Iruarrizaga Puerta;Fernando Juaristi Tapia;José Bernal Sánchez;;;;;
1;1977;Mirandés;Tarrasa;6-1;José Muñoz Sarasola;Pablo María Esandi Indurain;Ángel Sabino Álava Dorronsoro;Andoni Arriola Loyola;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carlos Delcourt Corral;Carmelo Andueza San Martín;Enrique Mata García;Francisco Sanz Tudanca;Benito Alonso Frechilla;José Bernal Sánchez;;;;;
1;1977;Mirandés;Castilla;2-0;José Muñoz Sarasola;Carlos Braceras Gorostiza;Andoni Arriola Loyola;Ángel Sabino Álava Dorronsoro;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Francisco Sanz Tudanca;Enrique Mata García;Fernando Juaristi Tapia;;;;;;
0;1977;Racing de Ferrol;Mirandés;1-0;José Muñoz Sarasola;Carlos Braceras Gorostiza;Andoni Arriola Loyola;Ángel Sabino Álava Dorronsoro;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Benito Alonso Frechilla;Francisco Sanz Tudanca;Isaac Iruarrizaga Puerta;Enrique Mata García;Federico Javier Sada Velasco;;;;;;
0;1977;Mirandés;Pontevedra;0-0;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Carlos Braceras Gorostiza;Andoni Arriola Loyola;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Enrique Mata García;Francisco Sanz Tudanca;Pablo María Esandi Indurain;Carlos Delcourt Corral;;;;;
0;1977;Huesca;Mirandés;1-1;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;José Usle Expósito;Andoni Arriola Loyola;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Isaac Iruarrizaga Puerta;Enrique Mata García;Francisco Sanz Tudanca;Carlos Braceras Gorostiza;Fernando Juaristi Tapia;;;;;
1;1977;Mirandés;Ensidesa;2-1;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Andoni Arriola Loyola;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Isaac Iruarrizaga Puerta;Enrique Mata García;Francisco Sanz Tudanca;Carlos Braceras Gorostiza;;;;;;
1;1977;Palencia CF;Mirandés;0-3;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Andoni Arriola Loyola;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;Isaac Iruarrizaga Puerta;Enrique Mata García;Francisco Sanz Tudanca;Fernando Juaristi Tapia;Carlos Braceras Gorostiza;;;;;
0;1977;Español San Vicente;Mirandés;0-0;José Muñoz Sarasola;Fernando Juaristi Tapia;Andoni Arriola Loyola;José Usle Expósito;Ángel Sabino Álava Dorronsoro;Guillermo de Haro López;Lucas Eciolaza Goiburu;Benito Alonso Frechilla;Francisco Sanz Tudanca;Isaac Iruarrizaga Puerta;Enrique Mata García;Federico Javier Sada Velasco;;;;;;
