WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
1,1971,Cultural Leonesa,Mallorca,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Rafael Juan del Riego Villaverde,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Luis Zuazaga Arrese,José Antonio Casas González,Raimundo Lorenzo García,,,,,,,,,,
0,1971,Cádiz,Cultural Leonesa,0-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Rafael Juan del Riego Villaverde,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Alberto Cobos Guinea,Gerardo Rodríguez Morán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Diego Fernández Yebra,,,,,,,,,,,
0,1971,Tenerife,Cultural Leonesa,3-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José María González Rodríguez,Rafael Juan del Riego Villaverde,Francisco Javier Larrauri Izquierdo,Gerardo Rodríguez Morán,Julio Piñán Nistal,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Luis Zuazaga Arrese,Diego Fernández Yebra,,,,,,,,,,,
1,1971,Cultural Leonesa,Mallorca,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Rafael Juan del Riego Villaverde,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Gerardo Rodríguez Morán,Julio Piñán Nistal,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Luis Zuazaga Arrese,Alberto Cobos Guinea,,,,,,,,,,,
0,1971,Rayo Vallecano,Cultural Leonesa,2-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Rafael Juan del Riego Villaverde,José María González Rodríguez,José Antonio Casas González,Francisco Javier Larrauri Izquierdo,Gerardo Rodríguez Morán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Feliciano Llamazares Martínez,Diego Fernández Yebra,,,,,,,,,,,
0,1971,Cartagena,Cultural Leonesa,3-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José Antonio Casas González,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Feliciano Llamazares Martínez,Francisco Villafañe Martínez,,,,,,,,,,,,
0,1971,Cultural Leonesa,Oviedo,1-3,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Mariano Arias Chamorro,Diego Fernández Yebra,Alberto Cobos Guinea,,,,,,,,,,
0,1971,Elche,Cultural Leonesa,2-0,Antonio Gómez Navarro,Eusebio García Méndez,Rafael Juan del Riego Villaverde,José Antonio Casas González,Francisco Javier Larrauri Izquierdo,Julio Piñán Nistal,Gerardo Rodríguez Morán,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Prieto Valenzuela,Diego Fernández Yebra,,,,,,,,,,
1,1971,Cultural Leonesa,Santander,2-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José Antonio Casas González,Rafael Juan del Riego Villaverde,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,,,,,,,,,,,,
0,1971,Castellón,Cultural Leonesa,2-0,Bernardo Aguirregomezcorta Arrizabalaga,Rafael Juan del Riego Villaverde,José Antonio Casas González,Francisco Javier Larrauri Izquierdo,Diego Fernández Yebra,Alberto Cobos Guinea,Constantino Rodríguez Roldán,Gerardo Rodríguez Morán,Julio Piñán Nistal,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Prieto Valenzuela,,,,,,,,,,,
